target_date,lead_months,point_id,series_id,input_kind,scenario,model_family,model,feature_set,y_hat,dy_hat
2025-10-01,22,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.233516398102578,0.1321076199546175
2025-11-01,23,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.372375838834045,0.1388594407314667
2025-12-01,24,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.51936997426595,0.1469941354319051
2026-01-01,25,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.420331390624767,-0.0990385836411828
2026-02-01,26,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.3361943239565965,-0.0841370666681702
2026-03-01,27,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.2710916632665485,-0.0651026606900479
2026-04-01,28,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.227476931601728,-0.0436147316648203
2026-05-01,29,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.207225697547313,-0.0202512340544155
2026-06-01,30,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.211974937516419,0.0047492399691063
2026-07-01,31,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.2427819816725485,0.0308070441561294
2026-08-01,32,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.298014473456967,0.055232491784419
2026-09-01,33,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.377355747219128,0.0793412737621608
2026-10-01,34,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.48079687726783,0.1034411300487014
2026-11-01,35,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.60696677718366,0.126169899915831
2026-12-01,36,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.754712195416425,0.1477454182327644
2027-01-01,37,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.663836252876909,-0.0908759425395164
2027-02-01,38,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.593405439035357,-0.070430813841551
2027-03-01,39,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.543309599766572,-0.0500958392687848
2027-04-01,40,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.513641449255818,-0.0296681505107543
2027-05-01,41,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.504634794395096,-0.009006654860722
2027-06-01,42,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.516634498699442,0.0119997043043458
2027-07-01,43,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.550041831670422,0.0334073329709798
2027-08-01,44,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.605097161153602,0.0550553294831809
2027-09-01,45,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.681996791650342,0.0768996304967402
2027-10-01,46,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.78092080103554,0.0989240093851974
2027-11-01,47,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.901926529038113,0.1210057280025734
2027-12-01,48,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.044975519543454,0.1430489905053402
2028-01-01,49,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.950420409510947,-0.0945551100325065
2028-02-01,50,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.87768595452249,-0.0727344549884568
2028-03-01,51,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.826656168471675,-0.0510297860508152
2028-04-01,52,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.7972315723114,-0.0294245961602748
2028-05-01,53,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.7893390543224905,-0.0078925179889091
2028-06-01,54,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.802938573904341,0.0135995195818506
2028-07-01,55,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.838025010576311,0.03508643667197
2028-08-01,56,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.894612670177094,0.0565876596007827
2028-09-01,57,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.972730262026759,0.078117591849665
2028-10-01,58,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.072418476061566,0.0996882140348069
2028-11-01,59,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.193719322749231,0.1213008466876649
2028-12-01,60,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.336668447891385,0.1429491251421542
2029-01-01,61,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.24173021758299,-0.0949382303083947
2029-02-01,62,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.168460634322897,-0.0732695832600929
2029-03-01,63,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.1168641207203285,-0.0515965136025683
2029-04-01,64,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.086936877459571,-0.0299272432607573
2029-05-01,65,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.078669619920118,-0.0082672575394534
2029-06-01,66,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.092050628936874,0.0133810090167561
2029-07-01,67,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.127068706680687,0.0350180777438129
2029-08-01,68,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.183714672739893,0.0566459660592067
2029-09-01,69,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.261982344436412,0.0782676716965191
2029-10-01,70,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.3618692479026375,0.0998869034662248
2029-11-01,71,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.483376429354315,0.1215071814516773
